2020-01-26 14:09:36 pid:3786 worker[Register:4120] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4121] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4122] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4123] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4124] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[Register:4125] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[YourAppGateway:4126] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[YourAppGateway:4127] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[YourAppGateway:4128] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[YourAppGateway:4129] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[Register:4130] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[YourAppGateway:4131] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[YourAppGateway:4132] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[YourAppGateway:4133] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[YourAppGateway:4134] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[Register:4135] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[YourAppGateway:4136] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[YourAppGateway:4137] exit with status 65280
2020-01-26 14:09:37 pid:3786 worker[YourAppGateway:4138] exit with status 65280
